"layer_id","eov_id","short_name"
432,7,"Hard coral"
432,8,"Seagrass"
432,12,"Invertebrates"
554,1,"Phytoplankton"
554,2,"Zooplankton"
554,4,"Turtles"
554,6,"Mammals"
468,1,"Phytoplankton"
468,2,"Zooplankton"
468,12,"Invertebrates"
418,12,"Invertebrates"
370,1,"Phytoplankton"
370,2,"Zooplankton"
370,3,"Fish"
370,8,"Seagrass"
370,9,"Macroalgae"
370,12,"Invertebrates"
440,1,"Phytoplankton"
565,12,"Invertebrates"
3,1,"Phytoplankton"
3,2,"Zooplankton"
272,1,"Phytoplankton"
272,2,"Zooplankton"
325,9,"Macroalgae"
325,12,"Invertebrates"
500,1,"Phytoplankton"
563,4,"Turtles"
563,6,"Mammals"
126,2,"Zooplankton"
331,3,"Fish"
331,4,"Turtles"
331,7,"Hard coral"
331,8,"Seagrass"
331,9,"Macroalgae"
344,2,"Zooplankton"
344,3,"Fish"
344,4,"Turtles"
344,7,"Hard coral"
344,8,"Seagrass"
344,9,"Macroalgae"
447,6,"Mammals"
519,1,"Phytoplankton"
519,11,"Microbes"
476,6,"Mammals"
373,2,"Zooplankton"
373,3,"Fish"
373,11,"Microbes"
373,12,"Invertebrates"
510,1,"Phytoplankton"
74,3,"Fish"
175,3,"Fish"
115,6,"Mammals"
496,5,"Birds"
72,1,"Phytoplankton"
72,2,"Zooplankton"
198,12,"Invertebrates"
515,1,"Phytoplankton"
515,8,"Seagrass"
515,9,"Macroalgae"
515,12,"Invertebrates"
357,5,"Birds"
190,5,"Birds"
69,12,"Invertebrates"
545,3,"Fish"
545,4,"Turtles"
545,5,"Birds"
545,6,"Mammals"
256,9,"Macroalgae"
256,12,"Invertebrates"
578,1,"Phytoplankton"
578,2,"Zooplankton"
578,11,"Microbes"
70,5,"Birds"
493,5,"Birds"
191,5,"Birds"
412,1,"Phytoplankton"
187,12,"Invertebrates"
523,6,"Mammals"
485,6,"Mammals"
339,6,"Mammals"
527,3,"Fish"
527,5,"Birds"
527,6,"Mammals"
527,12,"Invertebrates"
365,1,"Phytoplankton"
365,2,"Zooplankton"
193,1,"Phytoplankton"
193,2,"Zooplankton"
193,3,"Fish"
193,12,"Invertebrates"
31,5,"Birds"
195,5,"Birds"
549,1,"Phytoplankton"
549,2,"Zooplankton"
549,11,"Microbes"
42,1,"Phytoplankton"
42,2,"Zooplankton"
42,11,"Microbes"
278,6,"Mammals"
392,5,"Birds"
392,6,"Mammals"
312,3,"Fish"
221,3,"Fish"
123,3,"Fish"
541,1,"Phytoplankton"
541,2,"Zooplankton"
541,11,"Microbes"
10,1,"Phytoplankton"
10,2,"Zooplankton"
10,11,"Microbes"
288,12,"Invertebrates"
48,1,"Phytoplankton"
494,6,"Mammals"
226,12,"Invertebrates"
243,1,"Phytoplankton"
243,11,"Microbes"
177,1,"Phytoplankton"
303,1,"Phytoplankton"
303,2,"Zooplankton"
303,3,"Fish"
303,8,"Seagrass"
303,9,"Macroalgae"
303,12,"Invertebrates"
257,2,"Zooplankton"
257,3,"Fish"
257,12,"Invertebrates"
148,1,"Phytoplankton"
310,1,"Phytoplankton"
231,1,"Phytoplankton"
5,6,"Mammals"
321,1,"Phytoplankton"
321,3,"Fish"
321,6,"Mammals"
321,12,"Invertebrates"
18,1,"Phytoplankton"
18,2,"Zooplankton"
18,8,"Seagrass"
18,9,"Macroalgae"
18,11,"Microbes"
18,12,"Invertebrates"
477,1,"Phytoplankton"
477,2,"Zooplankton"
477,9,"Macroalgae"
477,11,"Microbes"
477,12,"Invertebrates"
