"layer_id","eov_id","short_name"
219,1,"Phytoplankton"
219,2,"Zooplankton"
219,9,"Macroalgae"
219,12,"Invertebrates"
430,1,"Phytoplankton"
430,2,"Zooplankton"
430,11,"Microbes"
98,12,"Invertebrates"
487,1,"Phytoplankton"
487,2,"Zooplankton"
487,9,"Macroalgae"
487,12,"Invertebrates"
266,3,"Fish"
266,4,"Turtles"
266,6,"Mammals"
266,12,"Invertebrates"
99,1,"Phytoplankton"
99,2,"Zooplankton"
262,7,"Hard coral"
262,9,"Macroalgae"
262,12,"Invertebrates"
399,1,"Phytoplankton"
399,2,"Zooplankton"
399,3,"Fish"
399,5,"Birds"
399,6,"Mammals"
399,11,"Microbes"
555,8,"Seagrass"
555,9,"Macroalgae"
555,12,"Invertebrates"
544,6,"Mammals"
40,2,"Zooplankton"
40,3,"Fish"
437,3,"Fish"
437,7,"Hard coral"
437,9,"Macroalgae"
437,11,"Microbes"
437,12,"Invertebrates"
203,3,"Fish"
203,6,"Mammals"
46,1,"Phytoplankton"
46,9,"Macroalgae"
282,5,"Birds"
282,6,"Mammals"
531,1,"Phytoplankton"
531,2,"Zooplankton"
531,11,"Microbes"
394,1,"Phytoplankton"
52,1,"Phytoplankton"
535,6,"Mammals"
241,1,"Phytoplankton"
241,2,"Zooplankton"
241,3,"Fish"
241,4,"Turtles"
241,5,"Birds"
241,6,"Mammals"
241,7,"Hard coral"
241,8,"Seagrass"
241,9,"Macroalgae"
241,10,"Mangrove"
241,11,"Microbes"
241,12,"Invertebrates"
32,1,"Phytoplankton"
32,2,"Zooplankton"
32,3,"Fish"
32,5,"Birds"
32,6,"Mammals"
32,8,"Seagrass"
32,9,"Macroalgae"
32,12,"Invertebrates"
508,6,"Mammals"
280,4,"Turtles"
280,5,"Birds"
280,6,"Mammals"
111,3,"Fish"
111,6,"Mammals"
359,1,"Phytoplankton"
150,9,"Macroalgae"
234,1,"Phytoplankton"
234,8,"Seagrass"
234,9,"Macroalgae"
234,11,"Microbes"
234,12,"Invertebrates"
61,1,"Phytoplankton"
61,2,"Zooplankton"
61,3,"Fish"
61,9,"Macroalgae"
61,11,"Microbes"
91,2,"Zooplankton"
91,3,"Fish"
570,12,"Invertebrates"
441,6,"Mammals"
235,3,"Fish"
235,7,"Hard coral"
235,8,"Seagrass"
235,9,"Macroalgae"
235,10,"Mangrove"
426,1,"Phytoplankton"
426,2,"Zooplankton"
426,3,"Fish"
426,6,"Mammals"
426,7,"Hard coral"
426,9,"Macroalgae"
426,11,"Microbes"
497,1,"Phytoplankton"
222,4,"Turtles"
222,6,"Mammals"
492,1,"Phytoplankton"
492,2,"Zooplankton"
492,3,"Fish"
492,4,"Turtles"
492,8,"Seagrass"
492,9,"Macroalgae"
492,11,"Microbes"
492,12,"Invertebrates"
145,8,"Seagrass"
145,9,"Macroalgae"
145,12,"Invertebrates"
374,1,"Phytoplankton"
374,2,"Zooplankton"
114,7,"Hard coral"
114,8,"Seagrass"
114,9,"Macroalgae"
114,10,"Mangrove"
220,1,"Phytoplankton"
220,2,"Zooplankton"
220,3,"Fish"
220,8,"Seagrass"
220,9,"Macroalgae"
220,11,"Microbes"
220,12,"Invertebrates"
154,6,"Mammals"
82,6,"Mammals"
516,1,"Phytoplankton"
516,2,"Zooplankton"
516,3,"Fish"
516,11,"Microbes"
251,1,"Phytoplankton"
251,2,"Zooplankton"
23,1,"Phytoplankton"
23,2,"Zooplankton"
23,3,"Fish"
53,12,"Invertebrates"
615,1,"Phytoplankton"
615,2,"Zooplankton"
615,3,"Fish"
615,5,"Birds"
615,6,"Mammals"
615,11,"Microbes"
271,1,"Phytoplankton"
271,2,"Zooplankton"
271,5,"Birds"
271,6,"Mammals"
271,11,"Microbes"
152,1,"Phytoplankton"
104,1,"Phytoplankton"
104,2,"Zooplankton"
104,3,"Fish"
104,7,"Hard coral"
104,8,"Seagrass"
104,9,"Macroalgae"
104,10,"Mangrove"
104,12,"Invertebrates"
213,1,"Phytoplankton"
119,1,"Phytoplankton"
119,2,"Zooplankton"
119,3,"Fish"
119,5,"Birds"
119,9,"Macroalgae"
119,12,"Invertebrates"
532,3,"Fish"
532,7,"Hard coral"
532,9,"Macroalgae"
532,12,"Invertebrates"
553,1,"Phytoplankton"
553,2,"Zooplankton"
553,3,"Fish"
553,11,"Microbes"
96,1,"Phytoplankton"
96,2,"Zooplankton"
96,3,"Fish"
96,11,"Microbes"
96,12,"Invertebrates"
478,5,"Birds"
478,6,"Mammals"
478,8,"Seagrass"
478,9,"Macroalgae"
478,12,"Invertebrates"
128,12,"Invertebrates"
9,3,"Fish"
9,4,"Turtles"
9,6,"Mammals"
9,7,"Hard coral"
9,12,"Invertebrates"
352,1,"Phytoplankton"
261,1,"Phytoplankton"
261,2,"Zooplankton"
261,9,"Macroalgae"
261,12,"Invertebrates"
540,1,"Phytoplankton"
540,2,"Zooplankton"
540,3,"Fish"
540,5,"Birds"
540,6,"Mammals"
540,8,"Seagrass"
540,9,"Macroalgae"
540,12,"Invertebrates"
24,1,"Phytoplankton"
24,2,"Zooplankton"
24,3,"Fish"
24,6,"Mammals"
24,11,"Microbes"
424,12,"Invertebrates"
129,8,"Seagrass"
466,1,"Phytoplankton"
164,1,"Phytoplankton"
164,2,"Zooplankton"
164,11,"Microbes"
29,3,"Fish"
29,7,"Hard coral"
29,9,"Macroalgae"
29,12,"Invertebrates"
141,1,"Phytoplankton"
141,2,"Zooplankton"
141,12,"Invertebrates"
558,10,"Mangrove"
577,3,"Fish"
80,3,"Fish"
80,4,"Turtles"
80,6,"Mammals"
80,7,"Hard coral"
80,8,"Seagrass"
80,9,"Macroalgae"
80,12,"Invertebrates"
25,4,"Turtles"
25,6,"Mammals"
167,9,"Macroalgae"
167,12,"Invertebrates"
239,9,"Macroalgae"
239,12,"Invertebrates"
204,9,"Macroalgae"
204,12,"Invertebrates"
387,1,"Phytoplankton"
387,2,"Zooplankton"
387,3,"Fish"
387,6,"Mammals"
387,11,"Microbes"
387,12,"Invertebrates"
86,9,"Macroalgae"
140,3,"Fish"
140,4,"Turtles"
140,6,"Mammals"
200,3,"Fish"
200,4,"Turtles"
200,5,"Birds"
200,6,"Mammals"
337,1,"Phytoplankton"
337,2,"Zooplankton"
337,3,"Fish"
