Network Name,Latitude,Longitude,EOVs sampled,Date start sampled,Date end sampled,sampling site name,Original Order
OTN,43.98,-69.26,NA,5/20/16,10/3/16,STG01,6782
OTN,43.98,-69.25,NA,5/20/16,10/3/16,STG02,8291
OTN,43.89,-69.25,NA,5/2/13,9/27/13,GMG-EN402,11418
OTN,43.87,-69.23,NA,8/16/14,1/1/15,TMOLT10,10434
OTN,44.01,-69.22,NA,5/5/14,10/21/14,STG03,7433
OTNGlobal,48.31,-69.07,NA,6/19/18,10/31/18,PP2,18423
OTN,44.09,-69.04,NA,4/27/09,7/2/09,PBN-2009-001,8481
OTN,44.09,-69.03,NA,4/17/12,6/28/12,PBN-2012-002,10084
OTN,44.1,-69.03,NA,4/27/09,7/2/09,PBN-2009-004,11561
OTN,44.1,-69.02,NA,4/27/09,7/2/09,PBN-2009-005,10666
OTN,44.1,-69.01,NA,4/27/09,7/2/09,PBN-2009-007,10706
OTN,44.1,-69,NA,4/17/12,6/28/12,PBN-2012-009,10385
OTNGlobal,61.26,-69,NA,11/11/18,NA,HUD-2,19132
OTN,44.06,-69,NA,6/1/14,10/28/15,GMG-F01,5977
OTN,44.1,-68.99,NA,4/22/11,6/28/11,PBN-2011-011,6104
OTN,44.1,-68.98,NA,4/22/11,6/28/11,PBN-2011-014,8755
OTN,44.11,-68.98,NA,4/20/10,7/1/10,PBN-2010-015,9176
OTN,44.11,-68.97,NA,4/17/12,6/28/12,PBN-2012-017,7503
OTN,43.96,-68.97,NA,4/25/15,12/10/15,TMOLT07,7084
OTN,44.11,-68.96,NA,4/20/10,7/1/10,PBN-2010-019,7000
OTN,44.11,-68.95,NA,4/22/11,6/28/11,PBN-2011-022,5410
OTN,43.84,-68.92,NA,7/26/14,10/28/14,TMOLT05,5488
OTN,63.74,-68.92,NA,8/6/08,8/21/08,FRO-R022,9295
OTN,63.63,-68.92,NA,7/22/09,9/13/09,FRO-FW002,8763
OTN,43.93,-68.92,NA,5/20/14,12/1/14,TMOLT08,10070
OTN,63.75,-68.9,NA,8/6/08,8/21/08,FRO-R023,13134
OTN,63.6,-68.89,NA,7/23/09,9/14/09,FRO-FW001,7907
OTN,63.71,-68.89,NA,8/6/08,9/30/08,FRO-R024,5001
OTN,63.69,-68.88,NA,7/16/09,9/13/09,FRO-SW017,8652
OTN,43.79,-68.87,NA,5/5/16,12/30/16,TMOLT12,13169
OTN,63.6,-68.86,NA,8/8/08,9/30/08,FRO-R033,9308
OTN,43.85,-68.85,NA,6/30/14,10/25/14,TMOLT06,7258
OTN,63.61,-68.82,NA,8/5/08,9/30/08,FRO-R014,7787
OTN,63.65,-68.82,NA,8/5/08,9/30/08,FRO-R021,8806
OTN,63.65,-68.81,NA,7/15/09,9/9/09,FRO-SW015,16483
OTN,43.89,-68.81,NA,5/1/15,12/30/15,TMOLT13,5981
OTN,63.64,-68.81,NA,7/15/09,9/9/09,FRO-SW014,11485
OTN,63.64,-68.8,NA,8/5/08,9/30/08,FRO-R020,10810
OTN,44.16,-68.8,NA,4/27/09,7/2/09,PBN-2009-026,12479
OTN,63.6,-68.79,NA,8/6/08,9/30/08,FRO-R028,5507
OTN,44.16,-68.79,NA,4/22/11,6/28/11,PBN-2011-026,11800
OTN,63.63,-68.79,NA,8/5/08,9/30/08,FRO-R019,11432
OTN,63.59,-68.79,NA,8/7/08,9/30/08,FRO-R030,10922
OTN,44.16,-68.78,NA,4/17/12,6/28/12,PBN-2012-029,5479
OTN,63.59,-68.78,NA,8/2/08,9/30/08,FRO-R010,11183
