Network name,Latitude,Longitude,EOVs sampled,Year start sampled,year end sampled,Sampling site name
SIBES,53.43,6.03,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2018,1
SIBES,52.95,4.92,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,28
SIBES,52.95,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,29
SIBES,52.95,4.94,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,30
SIBES,52.96,4.86,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,31
SIBES,52.96,4.88,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2009,active,32
SIBES,52.96,4.89,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2009,active,33
SIBES,52.96,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2009,active,35
SIBES,52.96,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2009,active,36
SIBES,52.96,4.92,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2009,active,37
SIBES,52.96,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2009,active,38
SIBES,52.97,4.85,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,39
SIBES,52.97,4.86,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,40
SIBES,52.97,4.89,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,42
SIBES,52.97,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,44
SIBES,52.97,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,45
SIBES,52.97,4.92,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,46
SIBES,52.97,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,47
SIBES,52.98,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,53
SIBES,52.98,4.92,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,54
SIBES,52.98,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,55
