Network name,Latitude,Longitude,EOVs sampled,Year start sampled,year end sampled,Sampling site name
SIBES,53.09,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,59
SIBES,52.95,4.89,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,61
SIBES,52.95,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,63
SIBES,52.95,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,64
SIBES,52.96,4.83,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,68
SIBES,52.96,4.84,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,70
SIBES,52.96,4.85,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,71
SIBES,53.11,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,80
SIBES,53.11,5.16,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,83
SIBES,53.11,5.17,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,84
SIBES,53.11,5.18,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,86
SIBES,53.11,5.21,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,87
SIBES,53.11,5.22,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,89
SIBES,53.11,5.23,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,90
SIBES,53.12,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,92
SIBES,53.12,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,93
SIBES,53.12,4.92,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,94
SIBES,53.12,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,95
SIBES,53.12,5.15,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,98
SIBES,53.12,5.17,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,99
SIBES,53.12,5.18,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,100
SIBES,53.12,5.21,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,101
SIBES,53.12,5.22,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,103
SIBES,53.12,5.23,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,104
SIBES,53.12,5.24,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,105
SIBES,52.94,4.8,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2017,107
SIBES,52.94,4.81,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,108
SIBES,52.94,4.82,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,109
SIBES,52.94,4.83,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,110
SIBES,52.94,4.84,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,112
SIBES,52.94,4.85,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,113
SIBES,52.94,4.86,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,114
SIBES,52.94,4.87,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,115
SIBES,52.94,4.88,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,116
SIBES,52.94,4.89,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,117
SIBES,52.94,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,119
SIBES,52.94,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,120
SIBES,52.94,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,121
SIBES,52.94,4.97,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,123
SIBES,52.94,4.98,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,124
SIBES,52.94,4.99,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,125
SIBES,52.94,5,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,126
SIBES,52.91,4.84,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,127
SIBES,52.91,4.85,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,128
SIBES,52.91,4.86,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,129
SIBES,52.91,4.87,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,131
SIBES,52.91,4.88,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,132
SIBES,52.91,4.89,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,133
SIBES,52.91,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,135
SIBES,52.91,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,136
SIBES,52.91,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,138
SIBES,52.91,4.82,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,141
SIBES,52.91,4.83,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,142
SIBES,52.91,4.92,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,154
SIBES,52.91,4.94,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,157
SIBES,52.92,4.81,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,158
SIBES,52.92,4.82,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,159
SIBES,52.92,4.95,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,160
SIBES,52.93,4.8,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,162
SIBES,52.93,4.82,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,164
SIBES,52.93,4.83,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,165
SIBES,52.93,4.84,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,166
SIBES,52.93,4.85,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,167
SIBES,52.93,4.86,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,168
SIBES,52.93,4.87,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,170
SIBES,52.93,4.88,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2009,2012,171
SIBES,52.93,4.89,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,172
SIBES,52.93,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,174
SIBES,52.93,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,175
SIBES,52.93,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,176
SIBES,52.93,4.94,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,178
SIBES,52.93,4.95,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,179
SIBES,52.93,4.96,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,180
SIBES,52.93,4.81,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,181
SIBES,52.93,4.92,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,192
SIBES,52.92,4.83,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,193
SIBES,52.92,4.84,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,195
SIBES,52.92,4.86,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,197
SIBES,52.92,4.87,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,199
SIBES,52.92,4.88,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,200
SIBES,52.92,4.89,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,201
SIBES,52.92,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,203
SIBES,52.92,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,204
SIBES,52.92,4.92,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,205
SIBES,52.92,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,206
SIBES,52.92,4.94,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,208
SIBES,52.92,4.85,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,213
SIBES,52.9,4.86,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2016,229
SIBES,52.9,4.87,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,230
SIBES,52.9,4.88,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,231
SIBES,52.9,4.89,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,232
SIBES,52.9,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,242
SIBES,52.9,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,243
SIBES,52.9,4.84,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2017,245
SIBES,52.9,4.85,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2018,246
SIBES,52.9,4.92,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,255
SIBES,52.94,4.92,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,277
SIBES,52.94,4.94,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,280
SIBES,52.94,4.95,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,281
SIBES,52.94,4.96,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,282
SIBES,52.94,5.01,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,288
SIBES,52.95,4.83,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,289
SIBES,52.95,4.84,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,290
SIBES,52.95,4.86,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,291
SIBES,52.94,5.02,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,294
SIBES,52.95,4.81,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,314
SIBES,52.95,4.82,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,315
SIBES,52.95,4.85,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,318
SIBES,52.95,4.87,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,320
SIBES,52.95,4.88,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,321
SIBES,53.09,5.26,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,325
SIBES,53.09,5.27,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,326
SIBES,53.09,5.28,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,327
SIBES,53.1,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,329
SIBES,53.1,5.25,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,330
SIBES,53.1,5.26,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,331
SIBES,53.1,5.27,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,332
SIBES,53.1,5.28,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,333
SIBES,53.1,5.16,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,337
SIBES,53.1,5.17,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,338
SIBES,53.1,5.18,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,340
SIBES,53.11,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,344
SIBES,53.11,5.15,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,347
SIBES,53.13,5.05,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,360
SIBES,53.13,5.07,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,361
SIBES,53.13,5.08,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,363
SIBES,53.13,5.16,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2012,367
SIBES,53.13,5.2,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,369
SIBES,53.13,5.21,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,370
SIBES,53.14,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,375
SIBES,53.14,4.94,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,376
SIBES,53.14,4.95,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,377
SIBES,53.14,4.96,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,378
SIBES,53.14,4.97,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2009,active,380
SIBES,53.14,4.98,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,381
SIBES,53.14,4.99,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,382
SIBES,53.14,5,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,383
SIBES,53.14,5.02,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,385
SIBES,53.14,5.03,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,386
SIBES,53.14,5.06,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2018,387
SIBES,53.14,5.07,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,388
SIBES,53.12,4.94,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,394
SIBES,53.12,4.95,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,395
SIBES,53.12,4.96,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,396
SIBES,53.12,4.97,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,398
SIBES,53.12,5.19,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,400
SIBES,53.12,5.2,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,401
SIBES,53.13,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,410
SIBES,53.13,4.94,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,412
SIBES,53.13,4.95,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,413
SIBES,53.13,4.96,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,414
SIBES,53.13,4.97,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,416
SIBES,53.13,4.98,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,417
SIBES,53.13,4.99,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,418
SIBES,53.13,5,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,419
SIBES,53.13,5.01,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,421
SIBES,53.13,5.19,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,422
SIBES,53.13,5.22,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,426
SIBES,53.13,5.23,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,427
SIBES,53.13,5.02,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,441
SIBES,53.13,5.03,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,442
SIBES,53.13,5.04,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,444
SIBES,53.14,5.08,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,465
SIBES,53.14,5.14,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2012,466
SIBES,53.14,5.15,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2012,467
SIBES,53.14,5.2,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,469
SIBES,53.14,5.21,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,470
SIBES,53.14,5.13,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2012,486
SIBES,53.14,5.17,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,490
SIBES,53.14,5.18,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,491
SIBES,53.14,5.19,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,492
SIBES,53.15,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,498
SIBES,53.15,4.95,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,499
SIBES,53.15,4.96,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,500
SIBES,53.15,4.97,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,502
SIBES,53.15,4.98,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,503
SIBES,53.15,4.99,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,504
SIBES,53.15,5.03,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,505
SIBES,53.15,5.04,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,507
SIBES,53.15,5.14,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2012,509
SIBES,53.15,5.15,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2012,510
SIBES,53.15,5.17,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2012,511
SIBES,53.15,5.18,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,513
SIBES,53.15,5.19,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,514
SIBES,53.18,4.9,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,515
SIBES,53.18,4.91,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,516
SIBES,53.18,4.92,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,517
SIBES,53.18,4.93,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,518
SIBES,53.18,4.94,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,520
SIBES,53.18,4.95,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,521
SIBES,53.18,4.96,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,522
SIBES,53.18,4.97,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2017,524
SIBES,53.18,4.99,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,525
SIBES,53.18,5,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,526
SIBES,53.18,5.01,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,528
SIBES,53.18,5.02,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,529
SIBES,53.18,5.03,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,530
SIBES,53.18,5.05,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2013,533
SIBES,53.18,5.07,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,534
SIBES,53.18,5.09,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,536
SIBES,53.18,5.1,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,538
SIBES,53.18,5.11,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,539
SIBES,53.18,5.12,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,540
SIBES,53.32,5.6,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,546
SIBES,53.32,5.61,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,553
SIBES,53.32,5.62,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,554
SIBES,53.33,5.58,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,561
SIBES,53.33,5.61,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,565
SIBES,53.33,5.62,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,566
SIBES,53.33,5.63,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,568
SIBES,53.33,5.64,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2012,569
SIBES,53.33,5.56,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,575
SIBES,53.33,5.59,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,579
SIBES,53.33,5.65,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,586
SIBES,53.33,5.66,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,587
SIBES,53.33,5.55,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,593
SIBES,53.33,5.57,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,595
SIBES,53.34,5.55,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2018,614
SIBES,53.34,5.56,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,616
SIBES,53.34,5.57,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,617
SIBES,53.34,5.58,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,618
SIBES,53.34,5.59,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,2018,619
SIBES,53.34,5.6,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,621
SIBES,53.34,5.61,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,622
SIBES,53.34,5.62,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,624
SIBES,53.34,5.63,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,625
SIBES,53.34,5.64,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,626
SIBES,53.34,5.65,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,627
SIBES,53.34,5.66,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,628
SIBES,53.34,5.67,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,630
SIBES,53.34,5.68,"Macrozoobenthos abundance, Macrozoobenthos biomass, sediment grainsize",2008,active,631
