Network,Latitude,Longitude
DIPnet,-16.69,-179.86
DIPnet,-16.81,-179.84
DIPnet,28.42,-178.34
DIPnet,28.42,-178.33
DIPnet,28.41,-178.32
DIPnet,28.39,-178.3
DIPnet,-29.21,-177.93
DIPnet,-29.25,-177.88
DIPnet,28.21,-177.4
DIPnet,28.26,-177.39
DIPnet,28.21,-177.38
DIPnet,28.21,-177.37
DIPnet,28.21,-177.35
DIPnet,28.2,-177.35
DIPnet,28.25,-177.32
DIPnet,0.81,-176.62
DIPnet,0.42,-176.57
DIPnet,0.19,-176.48
DIPnet,26.93,-176.45
DIPnet,27.79,-175.98
DIPnet,27.77,-175.98
DIPnet,27.76,-175.98
DIPnet,27.78,-175.98
DIPnet,27.77,-175.97
DIPnet,27.76,-175.97
DIPnet,27.75,-175.96
DIPnet,27.79,-175.95
DIPnet,27.75,-175.95
DIPnet,27.76,-175.94
DIPnet,27.88,-175.93
DIPnet,27.76,-175.92
DIPnet,27.76,-175.91
DIPnet,27.9,-175.91
DIPnet,27.9,-175.9
DIPnet,27.78,-175.9
DIPnet,27.78,-175.89
DIPnet,27.92,-175.88
DIPnet,27.88,-175.86
DIPnet,27.8,-175.85
DIPnet,27.89,-175.84
DIPnet,27.95,-175.84
DIPnet,27.84,-175.83
DIPnet,27.93,-175.82
DIPnet,27.84,-175.82
DIPnet,27.79,-175.82
DIPnet,27.83,-175.82
DIPnet,27.81,-175.82
DIPnet,27.92,-175.82
DIPnet,27.92,-175.81
DIPnet,27.91,-175.81
DIPnet,27.82,-175.81
DIPnet,27.82,-175.8
DIPnet,27.87,-175.8
DIPnet,27.81,-175.8
DIPnet,27.86,-175.8
DIPnet,27.87,-175.79
DIPnet,27.88,-175.79
DIPnet,27.86,-175.79
DIPnet,27.83,-175.79
DIPnet,27.82,-175.79
DIPnet,27.84,-175.79
DIPnet,27.9,-175.79
DIPnet,27.89,-175.79
DIPnet,27.86,-175.77
DIPnet,27.96,-175.77
DIPnet,27.96,-175.76
DIPnet,27.88,-175.76
DIPnet,27.86,-175.74
DIPnet,27.88,-175.73
DIPnet,27.9,-175.73
DIPnet,27.93,-175.73
DIPnet,-20.13,-174.68
DIPnet,-19.66,-174.3
DIPnet,-19.65,-174.3
DIPnet,-19.68,-174.3
DIPnet,-19.72,-174.28
DIPnet,-19.71,-174.28
DIPnet,-19.7,-174.28
DIPnet,26.03,-174
DIPnet,26.06,-173.97
DIPnet,25.96,-173.93
DIPnet,25.99,-173.44
DIPnet,-4.52,-172.18
DIPnet,-4.51,-172.18
DIPnet,25.34,-172.08
DIPnet,-9.2,-171.86
DIPnet,-9.21,-171.84
DIPnet,-13.83,-171.75
DIPnet,25.78,-171.75
