Network Name,Latitude,Longitude,EOVs sampled,Year start sampled,Year end sampled,Sampling site name
EFPU,-43.33,65.03,"radiation, temperature, nutrients, chl-a, phytoplankton",1997,active,EGI station
EFPU,-43.36,65.05,"macroalgae, intertidal invertebrates",2017,active,Ampi station
