dataSource,Latitude,Longitude
Great Fiji Shark Count,-18.16,178.41
Great Fiji Shark Count,-18.04,179.2
Great Fiji Shark Count,-17.81,178.74
Great Fiji Shark Count,-17.73,177.16
eShark_OldOnline,-17.71,178.06
eShark_OldOnline,-17.68,177.1
eShark_OldOnline,-17.67,177.1
Great Fiji Shark Count,-17.6,177.32
Great Fiji Shark Count,-17.59,178.98
Great Fiji Shark Count,-17.59,177.12
ConservationAssessment,-17.55,-150.05
Great Fiji Shark Count,-17.37,177.11
Great Fiji Shark Count,-17.35,178.52
Great Fiji Shark Count,-17.33,178.59
Great Fiji Shark Count,-17.28,178.47
Great Fiji Shark Count,-17.26,178.18
Great Fiji Shark Count,-17.18,178.52
Great Fiji Shark Count,-17.17,177.18
Great Fiji Shark Count,-17.08,179.09
Great Fiji Shark Count,-16.96,179.86
Great Fiji Shark Count,-16.93,177.36
Great Fiji Shark Count,-16.81,179.22
Great Fiji Shark Count,-16.81,179.43
Great Fiji Shark Count,-16.78,179.92
Great Fiji Shark Count,-16.68,179.99
eShark_OldOnline,-15.37,166.95
eManta,-15,-35
eManta,-15,165
eManta,-15,95
eManta,-15,35
eManta,-15,55
eManta,-15,-145
eManta,-15,145
eManta,-15,175
eManta,-15,45
eManta,-15,15
ConservationAssessment,-13.71,-172.06
ConservationAssessment,-12.11,96.83
ConservationAssessment,-10.42,-78.96
ConservationAssessment,-9.75,113.13
eShark_OldOnline,-9.27,121.65
eShark_OldOnline,-9.2,-171.84
ConservationAssessment,-9.18,159.92
eShark_OldOnline,-8.94,121.45
eShark_OldOnline,-8.53,125.58
eShark_OldOnline,-8.53,115.58
eShark_OldOnline,-8.52,115.57
eShark_OldOnline,-8.52,115.51
eShark_OldOnline,-8.51,119.67
eShark_OldOnline,-8.49,115.5
eShark_OldOnline,-8.49,119.73
eShark_OldOnline,-8.45,119.56
eShark_OldOnline,-8.44,119.55
eShark_OldOnline,-8.44,127.31
eShark_OldOnline,-8.41,127.3
eShark_OldOnline,-8.38,115.71
eShark_OldOnline,-8.36,116.03
eShark_OldOnline,-8.36,115.7
eShark_OldOnline,-8.36,115.79
eShark_OldOnline,-8.36,116.05
eShark_OldOnline,-8.35,116.02
eShark_OldOnline,-8.35,116.09
eShark_OldOnline,-8.34,115.67
eShark_OldOnline,-8.34,116.01
eShark_OldOnline,-8.34,116.04
eShark_OldOnline,-8.34,116.02
eShark_OldOnline,-8.34,116.08
eShark_OldOnline,-8.34,116.09
eShark_OldOnline,-8.33,115.65
eShark_OldOnline,-8.33,116.03
eShark_OldOnline,-8.33,115.64
eShark_OldOnline,-8.33,116.08
eShark_OldOnline,-8.33,116.04
eShark_OldOnline,-8.27,115.59
eShark_OldOnline,-8.14,116.17
eShark_OldOnline,-8.13,116.17
eShark_OldOnline,-8.13,115.56
eShark_OldOnline,-8.13,116.13
eShark_OldOnline,-8.09,116.21
eShark_OldOnline,-8.09,115.56
ConservationAssessment,-8.07,117.16
eShark_OldOnline,-7.92,119.15
eShark_OldOnline,-7.75,120.07
eShark_OldOnline,-7.75,120.29
eShark_OldOnline,-7.7,119.41
eShark_OldOnline,-7.7,119.8
eShark_OldOnline,-7.66,119.01
eShark_OldOnline,-7.49,120.82
eShark_OldOnline,-7.31,121.52
eShark_OldOnline,-6.36,34.88
ConservationAssessment,-6.04,39.47
eManta,-5,75
eManta,-5,115
eManta,-5,135
eManta,-5,155
eManta,-5,105
eManta,-5,125
eManta,-5,55
eManta,-5,-85
eManta,-5,-135
eManta,-5,45
eManta,-5,-175
eManta,-5,35
ConservationAssessment,-4.66,55.53
ConservationAssessment,-4.6,150.54
ConservationAssessment,-4.04,39.93
ConservationAssessment,-1,-90.21
eShark_OldOnline,-0.78,113.92
ConservationAssessment,1.19,103.76
ConservationAssessment,2.75,104.76
eManta,5,75
eManta,5,-85
eManta,5,95
eManta,5,135
eManta,5,-165
eManta,5,105
eManta,5,165
eManta,5,-95
eManta,5,115
eManta,5,145
eManta,5,125
eManta,5,85
eManta,5,-135
eManta,5,155
ConservationAssessment,5.87,80.13
eShark_OldOnline,5.95,98.26
eShark_OldOnline,6.3,97.82
eShark_OldOnline,6.61,97.6
eShark_OldOnline,6.87,98.83
eShark_OldOnline,6.9,98.8
eShark_OldOnline,6.91,98.61
eShark_OldOnline,6.93,98.79
eShark_OldOnline,6.96,98.48
eShark_OldOnline,7,98.53
eShark_OldOnline,7.01,98.88
eShark_OldOnline,7.02,98.83
eShark_OldOnline,7.02,98.94
eShark_OldOnline,7.05,98.81
eShark_OldOnline,7.05,98.88
eShark_OldOnline,7.06,98.84
eShark_OldOnline,7.07,99.38
eShark_OldOnline,7.07,99.39
ConservationAssessment,7.07,171.41
eShark_OldOnline,7.08,98.81
eShark_OldOnline,7.08,98.94
eShark_OldOnline,7.09,98.92
eShark_OldOnline,7.1,98.81
eShark_OldOnline,7.11,98.81
ZohoeShark,7.11,98.82
eShark_OldOnline,7.13,98.97
eShark_OldOnline,7.13,99.01
eShark_OldOnline,7.14,98.6
ZohoeShark,7.17,98.81
eShark_OldOnline,7.18,99.07
eShark_OldOnline,7.19,99.07
eShark_OldOnline,7.19,98.79
eShark_OldOnline,7.2,99.08
eShark_OldOnline,7.2,99.06
eShark_OldOnline,7.2,99.07
eShark_OldOnline,7.2,99.05
eShark_OldOnline,7.2,98.84
eShark_OldOnline,7.21,99.05
eShark_OldOnline,7.21,99.07
eShark_OldOnline,7.22,98.83
eShark_OldOnline,7.22,93.74
eShark_OldOnline,7.22,99.1
eShark_OldOnline,7.23,98.8
eShark_OldOnline,7.26,99.29
