Longitude_orig,"E,W",Latitude_orig,"N,S",Longitude,Latitude
131.679,E,35.1433,N,131.68,35.14
131.8,E,32.03,N,131.8,32.03
131.8,E,32.05,N,131.8,32.05
131.85,E,31.3402,N,131.85,31.34
131.85,E,31.57,N,131.85,31.57
131.917,E,30.5202,N,131.92,30.52
131.92,E,30.87,N,131.92,30.87
131.9273,E,20.9111,N,131.93,20.91
131.95,E,32.3102,N,131.95,32.31
131.95,E,32.52,N,131.95,32.52
131.968,E,34.9137,N,131.97,34.91
131.9718,E,22.8911,N,131.97,22.89
131.996,E,35.5,N,132,35.5
131.996,E,36.494,N,132,36.49
131.9976,E,21.99836667,N,132,22
131.9978,E,23.99986667,N,132,24
131.998,E,36,N,132,36
131.998,E,36.499,N,132,36.5
131.998,E,35,N,132,35
131.999,E,36.007,N,132,36.01
132,E,32.03,N,132,32.03
132,E,32.05,N,132,32.05
132.005,E,35.013,N,132,35.01
132.015,E,36.507,N,132.01,36.51
132.022,E,35.5,N,132.02,35.5
132.032,E,36.501,N,132.03,36.5
132.043,E,35.002,N,132.04,35
132.048,E,36.005,N,132.05,36.01
132.13,E,32.52,N,132.13,32.52
132.133,E,32.3102,N,132.13,32.31
132.18,E,30.63,N,132.18,30.63
132.183,E,30.3798,N,132.18,30.38
132.33,E,35.33,N,132.33,35.33
132.33,E,36,N,132.33,36
132.33,E,36.67,N,132.33,36.67
132.333,E,35.5,N,132.33,35.5
132.333,E,35.15,N,132.33,35.15
132.333,E,36.333,N,132.33,36.33
132.45,E,30.2298,N,132.45,30.23
132.45,E,30.38,N,132.45,30.38
132.721,E,36.976,N,132.72,36.98
132.743,E,35.698,N,132.74,35.7
132.744,E,36.501,N,132.74,36.5
132.745,E,37.503,N,132.75,37.5
132.746,E,37.002,N,132.75,37
132.746,E,38.003,N,132.75,38
132.747,E,36,N,132.75,36
132.747,E,36.503,N,132.75,36.5
132.749,E,35.7,N,132.75,35.7
132.749,E,35.995,N,132.75,35.99
132.749,E,37.475,N,132.75,37.48
132.75,E,36.992,N,132.75,36.99
132.751,E,35.707,N,132.75,35.71
132.758,E,35.71,N,132.76,35.71
132.803,E,37.078,N,132.8,37.08
132.97,E,35.58,N,132.97,35.58
132.97,E,36.25,N,132.97,36.25
132.97,E,37,N,132.97,37
133.13,E,32.55,N,133.13,32.55
133.133,E,32.33,N,133.13,32.33
133.23,E,32.4,N,133.23,32.4
133.233,E,32.24,N,133.23,32.24
133.25,E,32.45,N,133.25,32.45
133.25,E,32.75,N,133.25,32.75
133.317,E,32.15,N,133.32,32.15
133.32,E,32.25,N,133.32,32.25
133.43,E,32.95,N,133.43,32.95
133.433,E,32.57,N,133.43,32.57
133.495,E,36.535,N,133.5,36.53
133.498,E,37,N,133.5,37
133.498,E,36.503,N,133.5,36.5
133.498,E,35.975,N,133.5,35.98
133.498,E,35.667,N,133.5,35.67
133.498,E,37.502,N,133.5,37.5
133.499,E,36.007,N,133.5,36.01
133.499,E,38.003,N,133.5,38
133.499,E,35.997,N,133.5,36
133.5,E,35.664,N,133.5,35.66
133.5,E,37.51,N,133.5,37.51
133.505,E,36.494,N,133.5,36.49
133.507,E,37.001,N,133.51,37
133.507,E,38.502,N,133.51,38.5
133.508,E,35.996,N,133.51,36
133.517,E,31.5802,N,133.52,31.58
133.52,E,31.97,N,133.52,31.97
133.55,E,37,N,133.55,37
133.617,E,33.0798,N,133.62,33.08
133.62,E,33.13,N,133.62,33.13
133.667,E,37,N,133.67,37
133.667,E,36.667,N,133.67,36.67
133.667,E,36.333,N,133.67,36.33
133.667,E,36,N,133.67,36
133.667,E,35.55,N,133.67,35.55
133.75,E,31.36,N,133.75,31.36
133.75,E,31.6,N,133.75,31.6
133.95,E,33.1398,N,133.95,33.14
133.95,E,33.23,N,133.95,33.23
134.14579,E,36.30454,N,134.15,36.3
134.236,E,37.499,N,134.24,37.5
134.245,E,36.004,N,134.25,36
134.247,E,35.739,N,134.25,35.74
134.247,E,36.496,N,134.25,36.5
134.248,E,37,N,134.25,37
134.248,E,36.995,N,134.25,36.99
134.248,E,37.5,N,134.25,37.5
134.248,E,35.731,N,134.25,35.73
134.249,E,38,N,134.25,38
134.25,E,36.013,N,134.25,36.01
134.25,E,37.013,N,134.25,37.01
134.252,E,36.07,N,134.25,36.07
134.254,E,36.495,N,134.25,36.49
134.256,E,36.992,N,134.26,36.99
134.258,E,37.503,N,134.26,37.5
134.259,E,38.5,N,134.26,38.5
134.261,E,36.501,N,134.26,36.5
134.267,E,35.727,N,134.27,35.73
134.59716,E,35.00335,N,134.6,35
134.867,E,33.51,N,134.87,33.51
134.87,E,33.85,N,134.87,33.85
134.994,E,36.502,N,134.99,36.5
134.997,E,37.991,N,135,37.99
134.997,E,37.509,N,135,37.51
134.997,E,36.498,N,135,36.5
134.998,E,37,N,135,37
134.999,E,37.498,N,135,37.5
135,E,36,N,135,36
135,E,37.999,N,135,38
135.001,E,36.507,N,135,36.51
135.002,E,36.979,N,135,36.98
135.002,E,36.008,N,135,36.01
135.025,E,37.014,N,135.03,37.01
135.026,E,38,N,135.03,38
135.28,E,33.45,N,135.28,33.45
135.283,E,33.27,N,135.28,33.27
135.433,E,35.65,N,135.43,35.65
135.433,E,36,N,135.43,36
135.433,E,36.333,N,135.43,36.33
135.45791,E,38.00504,N,135.46,38.01
135.5,E,36.998,N,135.5,37
135.501,E,36.001,N,135.5,36
135.502,E,37.5,N,135.5,37.5
135.503,E,36.503,N,135.5,36.5
135.7,E,33.1698,N,135.7,33.17
135.7,E,33.28,N,135.7,33.28
135.728,E,38.006,N,135.73,38.01
135.735,E,35.878,N,135.74,35.88
135.747,E,37.499,N,135.75,37.5
135.748,E,36.498,N,135.75,36.5
135.748,E,38,N,135.75,38
135.748,E,36.999,N,135.75,37
135.749,E,36.001,N,135.75,36
135.82,E,35.67,N,135.82,35.67
135.82,E,36.33,N,135.82,36.33
135.82,E,37,N,135.82,37
136.001,E,36.498,N,136,36.5
136.001,E,37.492,N,136,37.49
136.002,E,37,N,136,37
136.004,E,37.999,N,136,38
136.005,E,36.965,N,136,36.97
136.006,E,37.499,N,136.01,37.5
136.013,E,36.508,N,136.01,36.51
136.02,E,33.63,N,136.02,33.63
136.118,E,36.501,N,136.12,36.5
136.128,E,36.502,N,136.13,36.5
136.133,E,33.33,N,136.13,33.33
136.23,E,37,N,136.23,37
136.23,E,36.67,N,136.23,36.67
