Network Name,Latitude,Longitude,EOV sampled,Year Start,Year End,sampling site name,Depth,Habitat Type,Country,Locality,PI
Global ARMS Program,28.2,-177.38,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",9/24/08,ongoing,MID-R7_2008_C,14 meters,Forereef,United States of America,Midway,Molly Timmers
Global ARMS Program,28.2,-177.35,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",9/27/08,ongoing,MID-02_2008_C,12 meters,Forereef,United States of America,Midway,Molly Timmers
Global ARMS Program,28.21,-80.66,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/21/09,6/5/10,IRLFL_045,2 meters,sand,United States of America,Brevard_Pineda,Chris Meyer
Global ARMS Program,28.22,-177.4,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",9/25/08,ongoing,MID-H11_2008_C,4 meters,Lagoo,United States of America,Midway,Molly Timmers
Global ARMS Program,28.38,-178.32,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/12,KUR-12_2010_B,10 meters,Forereef,United States of America,Kure,Molly Timmers
Global ARMS Program,28.42,-178.38,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/09,12/31/12,KUR-R33_2010_A,10 meters,Forereef,United States of America,Kure,Molly Timmers
Global ARMS Program,28.42,-178.34,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/07,12/31/09,KUR-18_2008_C,3 meters,Lagoon,United States of America,Kure,Molly Timmers
Global ARMS Program,28.77,-80.84,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/14/09,6/6/10,IRLFL_036,2 meters,sand,United States of America,Brevard_Scottsmoor,Chris Meyer
Global ARMS Program,29.09,-80.94,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/15/09,6/7/10,IRLFL_030,2 meters,sand,United States of America,Volusia_Ponce Inlet,Chris Meyer
Global ARMS Program,29.45,34.97,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",9/30/11,1/31/13,JOD-02-03,10 meters,Fringing reef,Jordan,Aqaba,Nancy Knowlton
Global ARMS Program,36.62,-121.9,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/13,1/29/15,HMS-Out_6,6 meters,Outside,United States of America,Hopkins Marine Station,Jonathan Geller
Global ARMS Program,37.6,-75.63,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",4/30/13,ongoing,WCH-03_11,2 meters,Osyter reef,United States of America,Wachapreague,Matthieu Leray
Global ARMS Program,37.6,-75.62,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",4/30/13,ongoing,WCH-01_11,2 meters,Osyter reef,United States of America,Wachapreague,Matthieu Leray
Global ARMS Program,40.02,15.27,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/8/18,ongoing,PAL_SPA03,24 meters,NA,Italy,Palinuro,Federica Costantini
Global ARMS Program,40.03,15.27,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/8/18,ongoing,PAL_RIB03,17 meters,NA,Italy,Palinuro,Federica Costantini
Global ARMS Program,42.51,3.14,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",12/31/16,ongoing,BAN4_3,17 meters,NA,France,CerbÃ¨re Sud,Anne Chenuil
Global ARMS Program,42.57,8.75,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/12/18,ongoing,2018_FRAN_CALVI_SF3,20 meters,marine rock,France,bay of Calvi,Michele Leduc
Global ARMS Program,42.59,8.73,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/12/18,ongoing,2018_FRAN_CALVI_REV3,20 meters,marine rock,France,bay of Calvi,Michele Leduc
Global ARMS Program,42.6,8.8,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/15/18,ongoing,2018_FRAN_CALVI_SP3,20 meters,marine rock,France,bay of Calvi,Michele Leduc
Global ARMS Program,42.92,27.9,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",7/31/13,8/31/14,Che_3,7 meters,Infralittoral,Bulgaria,Cherni nos,Antoaneta Trayanova
Global ARMS Program,43.02,27.9,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",7/31/13,8/31/14,Kam_3,8 meters,Infralittoral,Bulgaria,Kamchia,Antoaneta Trayanova
Global ARMS Program,43.13,5.54,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",7/11/13,12/12/14,CCA-A3,17 meters,Infralittoral,France,Cassidaigne,Anne Chenuil
Global ARMS Program,43.17,5.39,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/5/13,12/11/14,RRS-S3,17 meters,Infralittoral,France,Rioux sud,Anne Chenuil
Global ARMS Program,43.21,5.26,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/6/17,ongoing,MAR4_3,16 meters,NA,France,Plane,Anne Chenuil
Global ARMS Program,43.27,28.05,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",7/31/13,8/31/14,Ala_3,7 meters,Infralittoral,Bulgaria,Aladja bank,Antoaneta Trayanova
Global ARMS Program,43.3,-2.22,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",4/30/13,5/31/14,Zum-03,11 meters,Infralittoral,Spain,Zumaia,Angel Borja
Global ARMS Program,43.32,5.23,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/13/13,12/2/14,ELV-N3,17 meters,Infralittoral,France,Elvine,Anne Chenuil
Global ARMS Program,43.33,-1.92,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",4/30/13,4/30/14,Pas-03,11 meters,Infralittoral,Spain,Pasaia,Angel Borja
Global ARMS Program,43.37,-2.5,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/31/13,6/30/14,Lek-03,12 meters,Infralittoral,Spain,Lekeitio,Angel Borja
Global ARMS Program,43.46,10.34,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/6/18,ongoing,LIV_SON03,15 meters,NA,Italy,Livorno,Federica Costantini
Global ARMS Program,43.47,10.33,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/7/18,ongoing,LIV_ISO03,10 meters,NA,Italy,Livorno,Federica Costantini
Global ARMS Program,43.54,13.62,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/31/14,6/30/15,Sca-03,9 meters,Infralittoral,Italy,La Scalaccia,Roberto Danovaro
Global ARMS Program,43.6,13.55,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",5/31/14,6/30/15,Sor-03,9 meters,Infralittoral,Italy,Due Sorelle,Roberto Danovaro
Global ARMS Program,43.62,13.52,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",6/30/14,6/30/15,Azz-03,7 meters,Infralittoral,Italy,Grotta Azzurra,Roberto Danovaro
Global ARMS Program,43.69,7.32,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/28/17,ongoing,VIL4_3,18 meters,NA,France,Cap Ferrat Est,Anne Chenuil
Global ARMS Program,45.04,13.62,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/15/18,ongoing,CRO_SAN03,18 meters,NA,Croatia,Rovigno,Federica Costantini
Global ARMS Program,45.07,13.61,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/13/18,ongoing,CRO_BAG03,13 meters,NA,Croatia,Rovigno,Federica Costantini
Global ARMS Program,45.09,13.62,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/13/18,ongoing,CRO_FIG03,15 meters,NA,Croatia,Rovigno,Federica Costantini
Global ARMS Program,45.99,-59.21,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/28/17,ongoing,2017_SBERS_CBU3,26 meters,"consolidated, igneous rock seabed",Canada,Scaterie Bank,Dr. Bruce G. Hatcher
Global ARMS Program,48.72,-3.97,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/11/18,ongoing,BDM_2018_MarBlo_001,1 meters,port,France,Roscoff,Frédérique Viard
Global ARMS Program,48.73,-3.96,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/10/18,ongoing,BDM_2018_BasBlo_001,12 meters,rocky reefs,France,Roscoff,Frédérique Viard
Global ARMS Program,51.65,-128.15,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/18/16,1/3/17,2017_HAKAI_ARMS06,5 meters,Macrocystis,Canada,NA,Matt Whalen
Global ARMS Program,51.65,-128.16,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/18/16,1/4/17,2017_HAKAI_ARMS01,5 meters,Nereocystis,Canada,NA,Matt Whalen
Global ARMS Program,51.66,-128.09,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/18/16,1/28/17,2017_HAKAI_ARMS04,5 meters,Macrocystis,Canada,NA,Matt Whalen
Global ARMS Program,51.67,2.83,"benthic invertebrates, vertebrates, microbes, algae - we monitor whole ecosystem using metabarcoding",1/11/18,1/19/18,2018_BWAZFPI_VLIZARMS,37 meters,NA,Belgium,NA,Klaas Deneudt
