X1,Latitude,Longitude,Network Name
165,26.48,-173.61,Cetacean Research Program
166,25.37,-172.91,Cetacean Research Program
167,25.24,-172.52,Cetacean Research Program
168,25.11,-171.98,Cetacean Research Program
169,24.26,-175.87,Cetacean Research Program
170,24.13,-175.72,Cetacean Research Program
171,23.87,-175.09,Cetacean Research Program
172,23.22,-175.17,Cetacean Research Program
173,23.15,-174.94,Cetacean Research Program
174,22.96,-174.7,Cetacean Research Program
175,22.83,-174.47,Cetacean Research Program
176,25.5,-170.81,Cetacean Research Program
177,25.63,-171.28,Cetacean Research Program
178,25.7,-171.74,Cetacean Research Program
179,25.89,-172.06,Cetacean Research Program
180,26.67,-171.98,Cetacean Research Program
181,26.54,-171.59,Cetacean Research Program
182,26.35,-171.28,Cetacean Research Program
183,26.22,-171.04,Cetacean Research Program
184,26.28,-170.65,Cetacean Research Program
185,27.72,-170.81,Cetacean Research Program
186,27.85,-171.36,Cetacean Research Program
187,28.11,-171.9,Cetacean Research Program
188,27.78,-172.91,Cetacean Research Program
189,27.52,-172.37,Cetacean Research Program
190,27.33,-171.74,Cetacean Research Program
191,26.8,-170.19,Cetacean Research Program
192,26.74,-169.8,Cetacean Research Program
193,26.54,-169.33,Cetacean Research Program
194,26.35,-169.17,Cetacean Research Program
195,25.5,-168.16,Cetacean Research Program
196,25.5,-168.47,Cetacean Research Program
197,25.63,-168.71,Cetacean Research Program
198,25.63,-168.86,Cetacean Research Program
199,25.63,-169.02,Cetacean Research Program
200,25.83,-169.25,Cetacean Research Program
201,25.57,-170.73,Cetacean Research Program
203,25.63,-171.51,Cetacean Research Program
204,25.83,-171.9,Cetacean Research Program
205,24.98,-169.25,Cetacean Research Program
206,24.78,-168.94,Cetacean Research Program
207,24.59,-168.4,Cetacean Research Program
208,24.52,-168.08,Cetacean Research Program
209,24.46,-167.85,Cetacean Research Program
210,24.2,-169.41,Cetacean Research Program
211,24.33,-169.72,Cetacean Research Program
212,24.39,-169.95,Cetacean Research Program
213,23.8,-170.65,Cetacean Research Program
214,23.87,-171.04,Cetacean Research Program
215,24,-171.28,Cetacean Research Program
216,24.2,-171.43,Cetacean Research Program
217,24.33,-171.74,Cetacean Research Program
218,24.39,-172.13,Cetacean Research Program
219,23.67,-171.9,Cetacean Research Program
220,23.41,-171.36,Cetacean Research Program
221,23.35,-171.04,Cetacean Research Program
222,23.48,-171.51,Cetacean Research Program
223,23.22,-170.73,Cetacean Research Program
224,23.22,-170.42,Cetacean Research Program
225,22.7,-171.59,Cetacean Research Program
226,22.76,-171.98,Cetacean Research Program
227,22.89,-172.13,Cetacean Research Program
228,22.96,-172.45,Cetacean Research Program
229,23.09,-172.76,Cetacean Research Program
230,23.15,-172.83,Cetacean Research Program
231,22.04,-171.98,Cetacean Research Program
232,22.04,-172.29,Cetacean Research Program
233,22.11,-172.52,Cetacean Research Program
234,22.17,-172.68,Cetacean Research Program
235,22.43,-172.91,Cetacean Research Program
236,22.43,-173.3,Cetacean Research Program
237,22.5,-173.54,Cetacean Research Program
238,22.5,-173.61,Cetacean Research Program
239,21.85,-170.81,Cetacean Research Program
240,21.65,-170.42,Cetacean Research Program
241,21.46,-170.03,Cetacean Research Program
242,21.33,-169.8,Cetacean Research Program
243,21.33,-169.49,Cetacean Research Program
244,21.2,-169.33,Cetacean Research Program
245,21.07,-169.17,Cetacean Research Program
246,21.78,-168.71,Cetacean Research Program
247,21.78,-169.1,Cetacean Research Program
248,21.98,-169.41,Cetacean Research Program
249,22.04,-169.64,Cetacean Research Program
250,22.17,-169.8,Cetacean Research Program
251,22.17,-169.95,Cetacean Research Program
252,23.35,-169.1,Cetacean Research Program
253,23.15,-168.55,Cetacean Research Program
254,23.09,-168.32,Cetacean Research Program
255,22.96,-167.85,Cetacean Research Program
256,23.74,-167.69,Cetacean Research Program
257,23.54,-167.07,Cetacean Research Program
258,23.35,-166.84,Cetacean Research Program
259,24.52,-167.77,Cetacean Research Program
260,24.65,-168.47,Cetacean Research Program
261,25.04,-167.07,Cetacean Research Program
262,24.85,-166.6,Cetacean Research Program
263,24.59,-165.98,Cetacean Research Program
264,25.43,-168.16,Cetacean Research Program
265,25.5,-168.79,Cetacean Research Program
