Latitude_org,"N,S",Longitude_org,"E,W",Latitude,Longitude
35.933,N,147.55,E,35.93,147.55
35.933,N,147.9,E,35.93,147.9
35.948,NA,174.945,E,35.95,174.94
35.95,N,145.583,E,35.95,145.58
35.95,N,145.967,E,35.95,145.97
35.95,N,147,E,35.95,147
35.967,N,145,E,35.97,145
35.967,N,145.017,E,35.97,145.02
35.967,N,145.05,E,35.97,145.05
35.967,N,145.5,E,35.97,145.5
35.967,N,148,E,35.97,148
35.97,N,142,E,35.97,142
35.975,N,133.498,E,35.98,133.5
35.98,N,145.03,E,35.98,145.03
35.98,N,146.01,E,35.98,146.01
35.983,N,141.483,E,35.98,141.48
35.983,N,145,E,35.98,145
35.983,N,145.017,E,35.98,145.02
35.983,N,145.45,E,35.98,145.45
35.983,N,145.517,E,35.98,145.52
35.983,N,145.733,E,35.98,145.73
35.983,N,145.983,E,35.98,145.98
35.983,N,146,E,35.98,146
35.983,N,146.017,E,35.98,146.02
35.983,N,146.767,E,35.98,146.77
35.983,N,147,E,35.98,147
35.983,N,147.033,E,35.98,147.03
35.983,N,148,E,35.98,148
35.983,N,148.067,E,35.98,148.07
35.983,N,148.983,E,35.98,148.98
35.992,N,140.743,E,35.99,140.74
35.992,N,142.002,E,35.99,142
35.993,N,131.249,E,35.99,131.25
35.995,N,132.749,E,35.99,132.75
35.996,N,131.251,E,36,131.25
35.996,N,133.508,E,36,133.51
35.997,N,133.499,E,36,133.5
35.997,N,134.246,E,36,134.25
35.998,N,135.001,E,36,135
35.998,N,135.75,E,36,135.75
35.998,N,143.007,E,36,143.01
35.999,N,131.999,E,36,132
36,N,132.33,E,36,132.33
36,N,132.747,E,36,132.75
36,N,133.667,E,36,133.67
36,N,135.433,E,36,135.43
36,N,140.75,E,36,140.75
36,N,141,E,36,141
36,N,141.243,E,36,141.24
36,N,141.25,E,36,141.25
36,N,141.493,E,36,141.49
36,N,141.5,E,36,141.5
36,N,142,E,36,142
36,N,143,E,36,143
36,N,144,E,36,144
36,N,144.45,E,36,144.45
36,N,144.967,E,36,144.97
36,N,145,E,36,145
36,N,145.533,E,36,145.53
36,N,145.617,E,36,145.62
36,N,145.983,E,36,145.98
36,N,146,E,36,146
36,N,146.017,E,36,146.02
36,N,146.1,E,36,146.1
36,N,146.517,E,36,146.52
36,N,146.967,E,36,146.97
36,N,146.983,E,36,146.98
36,N,147,E,36,147
36,N,147.517,E,36,147.52
36,N,147.983,E,36,147.98
36,N,148,E,36,148
36,N,148.017,E,36,148.02
36,N,148.25,E,36,148.25
36,N,148.5,E,36,148.5
36,N,149.033,E,36,149.03
36,N,149.2,E,36,149.2
36,N,149.517,E,36,149.52
36,N,149.533,E,36,149.53
36,N,150,E,36,150
36,N,155.01,E,36,155.01
36,N,160,E,36,160
36,N,165.99,E,36,165.99
36,N,175.5,E,36,175.5
36.001,N,135.501,E,36,135.5
36.005,N,132.048,E,36.01,132.05
36.007,N,131.999,E,36.01,132
36.007,N,133.499,E,36.01,133.5
36.008,N,135.002,E,36.01,135
36.01,N,152.5,E,36.01,152.5
36.01,N,170.01,E,36.01,170.01
36.01,N,179,E,36.01,179
36.013,N,134.25,E,36.01,134.25
36.015,N,155.61,E,36.02,155.61
36.017,N,141.483,E,36.02,141.48
36.017,N,141.517,E,36.02,141.52
36.017,N,146.483,E,36.02,146.48
36.017,N,146.9,E,36.02,146.9
36.017,N,146.983,E,36.02,146.98
36.017,N,147.05,E,36.02,147.05
36.017,N,147.983,E,36.02,147.98
36.017,N,148.967,E,36.02,148.97
36.017,N,149.017,E,36.02,149.02
36.017,N,149.517,E,36.02,149.52
36.03,N,142.99,E,36.03,142.99
36.033,N,145.017,E,36.03,145.02
36.033,N,145.983,E,36.03,145.98
36.06,N,157.5,E,36.06,157.5
36.067,N,145.983,E,36.07,145.98
36.07,N,134.252,E,36.07,134.25
36.08,N,141,E,36.08,141
36.08,N,144.5,E,36.08,144.5
36.098,NA,141.917,E,36.1,141.92
36.1,N,145.267,E,36.1,145.27
36.117,N,146,E,36.12,146
36.12,N,146.01,E,36.12,146.01
36.15,N,146,E,36.15,146
36.167,N,147,E,36.17,147
36.17,NA,171.008,E,36.17,171.01
36.173,N,158.755,E,36.17,158.75
36.227,NA,166.872,E,36.23,166.87
36.23,N,147.77,E,36.23,147.77
36.24,N,145.24,E,36.24,145.24
36.247,N,179.023,E,36.25,179.02
36.25,N,132.97,E,36.25,132.97
36.25,N,141.25,E,36.25,141.25
36.25,N,143.75,E,36.25,143.75
36.25,N,147.55,E,36.25,147.55
36.25,N,150.99,E,36.25,150.99
36.25,N,178.998,E,36.25,179
36.25,N,177.557,W,36.25,-177.56
36.267,N,145.2,E,36.27,145.2
36.273,N,176.98,W,36.27,-176.98
36.283,N,173.023,W,36.28,-173.02
36.298,N,179.015,E,36.3,179.01
36.302,N,165.012,W,36.3,-165.01
36.30454,N,134.14579,E,36.3,134.15
36.305,NA,159.923,E,36.3,159.92
36.309,N,141.493,E,36.31,141.49
36.31,N,141.751,E,36.31,141.75
36.317,N,140.785,E,36.32,140.78
36.317,N,140.984,E,36.32,140.98
36.317,N,141.252,E,36.32,141.25
36.318,N,141.991,E,36.32,141.99
36.32,N,141.5,E,36.32,141.5
36.33,N,133.67,E,36.33,133.67
36.33,N,135.82,E,36.33,135.82
36.333,N,132.333,E,36.33,132.33
36.333,N,135.433,E,36.33,135.43
36.333,N,144.983,E,36.33,144.98
36.333,N,146,E,36.33,146
36.417,N,145.467,E,36.42,145.47
36.42,N,159,E,36.42,159
36.443,N,141.583,E,36.44,141.58
36.45,N,146.433,E,36.45,146.43
36.452,NA,142.059,E,36.45,142.06
36.462,N,177.65,W,36.46,-177.65
36.467,N,145.35,E,36.47,145.35
36.47,N,142.01,E,36.47,142.01
36.48,N,141.04,E,36.48,141.04
36.48,N,147.46,E,36.48,147.46
36.48,N,175.012,E,36.48,175.01
36.483,N,141.517,E,36.48,141.52
36.483,N,144.95,E,36.48,144.95
36.483,N,144.983,E,36.48,144.98
36.483,N,145,E,36.48,145
36.483,N,145.983,E,36.48,145.98
36.483,N,147.967,E,36.48,147.97
36.483,N,148,E,36.48,148
36.483,N,149,E,36.48,149
36.49,N,144.53,E,36.49,144.53
36.493,N,175.033,E,36.49,175.03
36.494,N,131.996,E,36.49,132
36.494,N,133.505,E,36.49,133.5
36.495,N,134.254,E,36.49,134.25
36.495,N,154.993,E,36.49,154.99
36.496,N,134.247,E,36.5,134.25
36.496,N,143.001,E,36.5,143
36.497,N,132.001,E,36.5,132
36.497,N,136.119,E,36.5,136.12
36.498,N,134.997,E,36.5,135
36.498,N,135.748,E,36.5,135.75
36.498,N,136.001,E,36.5,136
36.5,N,132.751,E,36.5,132.75
36.5,N,133.5,E,36.5,133.5
36.5,N,141.483,E,36.5,141.48
36.5,N,144.5,E,36.5,144.5
36.5,N,144.983,E,36.5,144.98
36.5,N,145.017,E,36.5,145.02
36.5,N,145.317,E,36.5,145.32
36.5,N,145.467,E,36.5,145.47
36.5,N,146,E,36.5,146
36.5,N,146.03,E,36.5,146.03
36.5,N,146.433,E,36.5,146.43
36.5,N,146.967,E,36.5,146.97
36.5,N,146.983,E,36.5,146.98
36.5,N,147,E,36.5,147
36.5,N,147.483,E,36.5,147.48
36.5,N,147.983,E,36.5,147.98
36.5,N,148.55,E,36.5,148.55
36.5,N,149,E,36.5,149
36.5,N,149.05,E,36.5,149.05
36.5,N,150,E,36.5,150
36.5,N,150.017,E,36.5,150.02
36.5,N,152.51,E,36.5,152.51
36.501,N,132.032,E,36.5,132.03
36.501,N,132.744,E,36.5,132.74
36.501,N,134.261,E,36.5,134.26
36.502,N,134.994,E,36.5,134.99
36.502,N,136.128,E,36.5,136.13
36.503,N,135.503,E,36.5,135.5
36.505,N,141.999,E,36.51,142
36.505,N,174.998,E,36.51,175
36.507,N,132.015,E,36.51,132.01
36.507,N,135.001,E,36.51,135
36.507,N,168.993,E,36.51,168.99
36.508,N,136.013,E,36.51,136.01
36.517,N,145.017,E,36.52,145.02
36.517,N,145.983,E,36.52,145.98
36.517,N,146.983,E,36.52,146.98
36.517,N,147.483,E,36.52,147.48
36.517,N,147.983,E,36.52,147.98
36.52,N,149.66,E,36.52,149.66
36.527,N,133.499,E,36.53,133.5
36.53,N,143,E,36.53,143
36.533,N,149.017,E,36.53,149.02
36.533,N,149.5,E,36.53,149.5
36.567,N,140.768,E,36.57,140.77
36.567,N,140.96,E,36.57,140.96
36.567,N,141.186,E,36.57,141.19
36.567,N,141.493,E,36.57,141.49
36.567,N,142,E,36.57,142
36.568,N,141.99,E,36.57,141.99
36.57,N,140.97,E,36.57,140.97
36.57,N,141.04,E,36.57,141.04
36.57,N,141.18,E,36.57,141.18
36.57,N,141.5,E,36.57,141.5
36.57,N,157.5,E,36.57,157.5
36.58,N,146.01,E,36.58,146.01
36.58,N,149.72,E,36.58,149.72
36.583,N,136.233,E,36.58,136.23
36.59,NA,169.98,E,36.59,169.98
36.596,N,141.098,E,36.6,141.1
36.598,N,169.005,W,36.6,-169
36.633,N,146.65,E,36.63,146.65
36.65,N,141.483,E,36.65,141.48
36.65,N,142.98,E,36.65,142.98
36.65,N,143.13,E,36.65,143.13
36.65,N,144.99,E,36.65,144.99
36.667,N,132.333,E,36.67,132.33
36.667,N,133.667,E,36.67,133.67
36.667,N,143.183,E,36.67,143.18
36.667,N,145,E,36.67,145
36.667,N,146,E,36.67,146
36.67,N,136.23,E,36.67,136.23
36.69,N,149.58,E,36.69,149.58
36.693,NA,142.553,E,36.69,142.55
36.707,N,163.768,E,36.71,163.77
36.733,N,145,E,36.73,145
36.738,N,145.645,E,36.74,145.65
36.74,N,151.16,E,36.74,151.16
36.742,N,145.55,E,36.74,145.55
36.747,N,165.008,W,36.75,-165.01
36.75,N,141.25,E,36.75,141.25
36.75,N,142.25,E,36.75,142.25
36.75,N,146,E,36.75,146
36.785,N,158.997,E,36.78,159
36.8,N,164.985,E,36.8,164.99
36.815,N,177.117,W,36.81,-177.12
36.83,N,137.1,E,36.83,137.1
36.833,N,141.733,E,36.83,141.73
36.84,N,147,E,36.84,147
36.842,N,163.042,E,36.84,163.04
36.85,N,146.99,E,36.85,146.99
36.867,N,149.633,E,36.87,149.63
36.883,N,148.633,E,36.88,148.63
36.89,N,141.39,E,36.89,141.39
36.897,N,154.887,E,36.9,154.89
36.917,N,144.862,E,36.92,144.86
36.92,N,144.55,E,36.92,144.55
36.93,N,143.01,E,36.93,143.01
36.933,N,145.317,E,36.93,145.32
36.942,N,163.002,E,36.94,163
36.95,N,145.067,E,36.95,145.07
36.95,N,147.933,E,36.95,147.93
36.955,N,148.675,E,36.95,148.68
36.965,N,136.005,E,36.97,136
36.967,N,145.033,E,36.97,145.03
36.967,N,145.5,E,36.97,145.5
36.967,N,146,E,36.97,146
36.967,N,146.033,E,36.97,146.03
36.967,N,146.05,E,36.97,146.05
36.967,N,148.017,E,36.97,148.02
36.967,N,148.067,E,36.97,148.07
36.967,N,149.017,E,36.97,149.02
36.967,N,149.483,E,36.97,149.48
36.967,N,150.017,E,36.97,150.02
36.976,N,132.721,E,36.98,132.72
36.979,N,135.002,E,36.98,135
36.983,N,141.983,E,36.98,141.98
36.983,N,142,E,36.98,142
36.983,N,142.167,E,36.98,142.17
36.983,N,142.483,E,36.98,142.48
36.983,N,142.5,E,36.98,142.5
36.983,N,143,E,36.98,143
36.983,N,144,E,36.98,144
36.983,N,144.983,E,36.98,144.98
36.983,N,145,E,36.98,145
36.983,N,145.017,E,36.98,145.02
36.983,N,145.5,E,36.98,145.5
36.983,N,145.983,E,36.98,145.98
36.983,N,146,E,36.98,146
36.983,N,146.017,E,36.98,146.02
36.983,N,146.033,E,36.98,146.03
36.983,N,146.483,E,36.98,146.48
36.983,N,146.983,E,36.98,146.98
36.983,N,147,E,36.98,147
36.983,N,147.483,E,36.98,147.48
36.983,N,147.983,E,36.98,147.98
36.983,N,148,E,36.98,148
36.983,N,148.05,E,36.98,148.05
36.983,N,148.983,E,36.98,148.98
36.983,N,149,E,36.98,149
36.983,N,149.767,E,36.98,149.77
36.983,N,149.983,E,36.98,149.98
36.983,N,150,E,36.98,150
36.983,N,150.983,E,36.98,150.98
36.983,N,151.967,E,36.98,151.97
36.99,N,141.42,E,36.99,141.42
36.99,N,142.03,E,36.99,142.03
36.99,N,146,E,36.99,146
36.99,N,146.845,E,36.99,146.84
36.99,N,150.998,E,36.99,151
36.992,N,132.75,E,36.99,132.75
36.992,N,134.256,E,36.99,134.26
36.995,N,134.248,E,36.99,134.25
36.995,N,158.995,E,36.99,159
36.996,N,141.416,E,37,141.42
36.997,N,132.75,E,37,132.75
36.998,N,134.999,E,37,135
36.998,N,135.5,E,37,135.5
36.998,N,136.648,E,37,136.65
36.998,N,142.991,E,37,142.99
36.999,N,133.499,E,37,133.5
36.999,N,134.249,E,37,134.25
36.999,N,135.748,E,37,135.75
37,NA,143,E,37,143
37,NA,143.5,E,37,143.5
37,NA,144,E,37,144
37,NA,144.5,E,37,144.5
37,NA,145,E,37,145
37,NA,145.5,E,37,145.5
37,NA,146,E,37,146
37,NA,146.5,E,37,146.5
37,NA,147,E,37,147
37,NA,147.467,E,37,147.47
37,N,132.97,E,37,132.97
37,N,133.55,E,37,133.55
37,N,133.667,E,37,133.67
37,N,135.82,E,37,135.82
37,N,136.002,E,37,136
37,N,136.23,E,37,136.23
37,N,136.498,E,37,136.5
37,N,137.5,E,37,137.5
37,N,141.03,E,37,141.03
37,N,141.1,E,37,141.1
37,N,141.2,E,37,141.2
37,N,141.4,E,37,141.4
37,N,141.5,E,37,141.5
37,N,141.6,E,37,141.6
37,N,142,E,37,142
37,N,143.247,E,37,143.25
37,N,144.267,E,37,144.27
37,N,144.983,E,37,144.98
37,N,145.017,E,37,145.02
37,N,145.033,E,37,145.03
37,N,145.25,E,37,145.25
37,N,145.317,E,37,145.32
37,N,145.483,E,37,145.48
37,N,145.517,E,37,145.52
37,N,145.733,E,37,145.73
37,N,145.917,E,37,145.92
37,N,145.967,E,37,145.97
37,N,145.983,E,37,145.98
37,N,145.99,E,37,145.99
37,N,146.017,E,37,146.02
37,N,146.517,E,37,146.52
37,N,146.533,E,37,146.53
37,N,146.583,E,37,146.58
37,N,147.267,E,37,147.27
37,N,147.483,E,37,147.48
37,N,147.75,E,37,147.75
37,N,147.983,E,37,147.98
37,N,148,E,37,148
37,N,148.017,E,37,148.02
37,N,148.4,E,37,148.4
37,N,148.517,E,37,148.52
37,N,148.767,E,37,148.77
37,N,148.95,E,37,148.95
37,N,149,E,37,149
37,N,149.483,E,37,149.48
37,N,149.967,E,37,149.97
37,N,150,E,37,150
37,N,152.51,E,37,152.51
37,N,153.967,E,37,153.97
37,N,154.733,E,37,154.73
37,N,155,E,37,155
37,N,157.017,E,37,157.02
37,N,157.5,E,37,157.5
37,N,157.52,E,37,157.52
37,N,159.25,E,37,159.25
37,N,160,E,37,160
37,N,165.04,E,37,165.04
37,N,168,E,37,168
37,N,170,E,37,170
37.001,N,133.507,E,37,133.51
37.002,N,137.509,E,37,137.51
37.002,N,177.227,W,37,-177.23
37.004,N,137.263,E,37,137.26
37.008,N,136.509,E,37.01,136.51
37.008,N,177.002,E,37.01,177
37.009,N,134.25,E,37.01,134.25
37.014,N,135.025,E,37.01,135.03
37.017,N,142.967,E,37.02,142.97
37.017,N,145.017,E,37.02,145.02
37.017,N,145.033,E,37.02,145.03
37.017,N,145.233,E,37.02,145.23
37.017,N,145.967,E,37.02,145.97
37.017,N,145.983,E,37.02,145.98
37.017,N,147.017,E,37.02,147.02
37.017,N,147.5,E,37.02,147.5
37.017,N,148,E,37.02,148
37.017,N,148.25,E,37.02,148.25
37.017,N,149,E,37.02,149
37.017,N,149.5,E,37.02,149.5
37.017,N,149.517,E,37.02,149.52
37.017,N,151.733,E,37.02,151.73
37.017,N,152.5,E,37.02,152.5
37.017,N,153.233,E,37.02,153.23
37.02,N,143.03,E,37.02,143.03
37.029,N,136.509,E,37.03,136.51
37.032,N,141.084,E,37.03,141.08
37.033,N,145.517,E,37.03,145.52
37.042,N,141.502,E,37.04,141.5
37.05,N,145.5,E,37.05,145.5
37.05,N,148.917,E,37.05,148.92
37.078,N,132.803,E,37.08,132.8
37.083,N,137.501,E,37.08,137.5
37.083,N,144.483,E,37.08,144.48
37.095,N,155.348,E,37.09,155.35
37.1,N,145,E,37.1,145
37.1,N,147.017,E,37.1,147.02
37.14,N,148.19,E,37.14,148.19
37.16,N,150,E,37.16,150
37.163,N,147.003,E,37.16,147
37.167,N,142.5,E,37.17,142.5
37.17,N,150.9,E,37.17,150.9
37.18,N,155.03,E,37.18,155.03
37.183,N,145.917,E,37.18,145.92
37.183,N,146.5,E,37.18,146.5
37.184,N,138.001,E,37.18,138
37.197,N,161.222,E,37.2,161.22
37.21,N,171.002,E,37.21,171
37.22,N,144.99,E,37.22,144.99
37.228,N,177,W,37.23,-177
37.233,N,147,E,37.23,147
37.235,N,141.223,E,37.23,141.22
37.24,NA,154.997,E,37.24,155
37.24,NA,163.01,E,37.24,163.01
37.247,N,167,E,37.25,167
37.248,N,176.992,W,37.25,-176.99
37.25,N,137.23,E,37.25,137.23
37.25,N,141.58,E,37.25,141.58
37.25,N,142.5,E,37.25,142.5
37.25,N,143,E,37.25,143
37.25,N,143.05,E,37.25,143.05
37.25,N,143.75,E,37.25,143.75
37.25,N,145.25,E,37.25,145.25
37.25,N,147.017,E,37.25,147.02
37.25,N,169.003,W,37.25,-169
37.251,N,138.001,E,37.25,138
37.253,N,174.997,E,37.25,175
37.257,N,168.992,E,37.26,168.99
37.267,N,148.4,E,37.27,148.4
37.269,N,143.405,E,37.27,143.41
37.28,N,151.22,E,37.28,151.22
37.28,N,157.37,E,37.28,157.37
37.31,N,157.5,E,37.31,157.5
37.313,N,172.887,W,37.31,-172.89
37.325,N,137.496,E,37.33,137.5
37.33,N,145.005,E,37.33,145
37.333,N,136.233,E,37.33,136.23
37.333,N,143,E,37.33,143
37.333,N,144.983,E,37.33,144.98
37.333,N,145.017,E,37.33,145.02
37.333,N,146,E,37.33,146
37.335,N,138,E,37.34,138
37.343,N,141.652,E,37.34,141.65
37.348,N,159.863,E,37.35,159.86
37.349,N,136.448,E,37.35,136.45
37.35,N,142.5,E,37.35,142.5
37.357,N,141.687,E,37.36,141.69
37.367,N,142,E,37.37,142
37.367,N,142.5,E,37.37,142.5
37.367,N,145.033,E,37.37,145.03
37.367,N,145.65,E,37.37,145.65
37.367,N,148.217,E,37.37,148.22
37.369,N,141.623,E,37.37,141.62
37.38,N,147.99,E,37.38,147.99
37.385,N,149.998,E,37.38,150
37.388,N,158.993,E,37.39,158.99
37.4,N,141.5,E,37.4,141.5
37.4,N,146.283,E,37.4,146.28
37.41,N,141.75,E,37.41,141.75
37.413,N,142.872,E,37.41,142.87
37.418,NA,142.893,E,37.42,142.89
37.418,N,163.002,E,37.42,163
37.42,N,141.25,E,37.42,141.25
37.42,N,141.45,E,37.42,141.45
37.42,N,141.67,E,37.42,141.67
37.42,N,142,E,37.42,142
37.433,N,145.983,E,37.43,145.98
37.45,N,160.07,E,37.45,160.07
37.46,N,147.02,E,37.46,147.02
37.467,N,145.35,E,37.47,145.35
37.467,N,145.917,E,37.47,145.92
37.475,N,132.749,E,37.48,132.75
37.483,N,145.033,E,37.48,145.03
37.483,N,145.967,E,37.48,145.97
37.483,N,145.983,E,37.48,145.98
37.483,N,146,E,37.48,146
37.483,N,146.5,E,37.48,146.5
37.483,N,147,E,37.48,147
37.483,N,147.45,E,37.48,147.45
37.483,N,147.517,E,37.48,147.52
37.483,N,148,E,37.48,148
37.483,N,148.017,E,37.48,148.02
37.483,N,149,E,37.48,149
37.483,N,153.25,E,37.48,153.25
37.483,N,154,E,37.48,154
37.483,N,155.483,E,37.48,155.48
37.488,N,143.002,E,37.49,143
37.49,N,141.58,E,37.49,141.58
37.492,NA,141.88,E,37.49,141.88
37.492,N,136.001,E,37.49,136
37.493,N,143.635,E,37.49,143.63
37.493,N,164.987,E,37.49,164.99
37.495,N,141.585,E,37.49,141.59
37.496,N,135,E,37.5,135
37.497,N,136.499,E,37.5,136.5
37.497,N,137.499,E,37.5,137.5
37.497,N,158.998,E,37.5,159
37.498,N,134.252,E,37.5,134.25
37.498,N,137.506,E,37.5,137.51
37.498,N,145,E,37.5,145
37.498,N,146.998,E,37.5,147
37.499,N,134.236,E,37.5,134.24
37.499,N,135.747,E,37.5,135.75
37.499,N,136.006,E,37.5,136.01
37.499,N,148.003,E,37.5,148
37.5,NA,147.133,E,37.5,147.13
37.5,NA,147.142,E,37.5,147.14
37.5,N,133.498,E,37.5,133.5
37.5,N,135.502,E,37.5,135.5
37.5,N,136.459,E,37.5,136.46
37.5,N,137.005,E,37.5,137
37.5,N,141.5,E,37.5,141.5
37.5,N,141.58,E,37.5,141.58
37.5,N,142,E,37.5,142
37.5,N,142.767,E,37.5,142.77
37.5,N,143,E,37.5,143
37.5,N,143.34,E,37.5,143.34
37.5,N,143.483,E,37.5,143.48
37.5,N,143.67,E,37.5,143.67
37.5,N,144.233,E,37.5,144.23
37.5,N,144.5,E,37.5,144.5
37.5,N,144.983,E,37.5,144.98
37.5,N,145.5,E,37.5,145.5
37.5,N,145.75,E,37.5,145.75
37.5,N,145.833,E,37.5,145.83
37.5,N,145.967,E,37.5,145.97
37.5,N,146,E,37.5,146
37.5,N,146.017,E,37.5,146.02
37.5,N,146.1,E,37.5,146.1
37.5,N,146.15,E,37.5,146.15
37.5,N,146.183,E,37.5,146.18
37.5,N,146.5,E,37.5,146.5
37.5,N,146.917,E,37.5,146.92
37.5,N,146.983,E,37.5,146.98
37.5,N,147.145,E,37.5,147.15
37.5,N,147.25,E,37.5,147.25
37.5,N,147.467,E,37.5,147.47
37.5,N,147.5,E,37.5,147.5
37.5,N,147.983,E,37.5,147.98
37.5,N,148.467,E,37.5,148.47
37.5,N,148.55,E,37.5,148.55
37.5,N,149,E,37.5,149
37.5,N,150,E,37.5,150
37.5,N,154.75,E,37.5,154.75
37.5,N,155.5,E,37.5,155.5
37.5,N,156.25,E,37.5,156.25
37.5,N,157.75,E,37.5,157.75
37.5,N,159.233,E,37.5,159.23
37.501,N,136.537,E,37.5,136.54
37.501,N,138.501,E,37.5,138.5
37.502,N,132.752,E,37.5,132.75
37.502,N,165.01,W,37.5,-165.01
37.503,N,134.258,E,37.5,134.26
37.504,N,142.814,E,37.5,142.81
37.504,N,143.633,E,37.5,143.63
37.505,N,133.503,E,37.51,133.5
37.506,N,136.502,E,37.51,136.5
37.509,N,134.997,E,37.51,135
37.509,N,138.501,E,37.51,138.5
37.509,N,146.007,E,37.51,146.01
37.51,N,142.52,E,37.51,142.52
37.51,N,142.83,E,37.51,142.83
37.51,N,143,E,37.51,143
37.51,N,145.41,E,37.51,145.41
37.511,N,137.038,E,37.51,137.04
37.512,N,165,W,37.51,-165
37.515,N,164.988,W,37.52,-164.99
37.517,N,141.983,E,37.52,141.98
37.517,N,142.017,E,37.52,142.02
37.517,N,142.717,E,37.52,142.72
37.517,N,145.967,E,37.52,145.97
37.517,N,145.983,E,37.52,145.98
37.517,N,146.667,E,37.52,146.67
37.517,N,149.983,E,37.52,149.98
37.517,N,154.033,E,37.52,154.03
37.517,N,159.25,E,37.52,159.25
37.522,N,142.005,E,37.52,142
37.532,N,142.808,E,37.53,142.81
37.533,N,137.983,E,37.53,137.98
37.549,N,136.998,E,37.55,137
37.55,N,145.533,E,37.55,145.53
37.55,N,146.05,E,37.55,146.05
37.55,N,158.91,E,37.55,158.91
37.557,N,156.695,E,37.56,156.69
37.56,N,136.998,E,37.56,137
37.57,N,142,E,37.57,142
37.58,N,138.002,E,37.58,138
37.583,N,146.183,E,37.58,146.18
37.588,N,141.554,E,37.59,141.55
37.593,N,147.152,E,37.59,147.15
37.5956,N,147.1323,E,37.6,147.13
37.596,N,137.998,E,37.6,138
37.598,N,147.146,E,37.6,147.15
37.6,N,141.64,E,37.6,141.64
37.6,N,141.65,E,37.6,141.65
37.608,N,165.628,E,37.61,165.63
37.61,N,157.55,E,37.61,157.55
37.612,N,141.731,E,37.61,141.73
37.614,N,141.598,E,37.61,141.6
37.617,N,145.033,E,37.62,145.03
37.617,N,145.417,E,37.62,145.42
37.617,N,163.005,E,37.62,163
37.62,N,149.99,E,37.62,149.99
37.62,N,160.03,E,37.62,160.03
37.625,N,141.79,E,37.62,141.79
37.633,N,141.65,E,37.63,141.65
37.633,N,144.983,E,37.63,144.98
37.633,N,177.178,W,37.63,-177.18
37.64,N,144.91,E,37.64,144.91
37.65,N,151.22,E,37.65,151.22
37.658,N,141.25,E,37.66,141.25
37.66,N,147.26,E,37.66,147.26
37.665,N,138.5,E,37.66,138.5
37.666,N,138.498,E,37.67,138.5
37.667,N,142.667,E,37.67,142.67
37.667,N,144.95,E,37.67,144.95
37.667,N,145,E,37.67,145
37.667,N,145.983,E,37.67,145.98
37.667,N,146,E,37.67,146
37.673,N,164.993,W,37.67,-164.99
37.68,N,138.68,E,37.68,138.68
37.683,N,145,E,37.68,145
37.683,N,163.095,E,37.68,163.09
37.69,N,142.25,E,37.69,142.25
37.7,N,137.817,E,37.7,137.82
37.7,N,147.61,E,37.7,147.61
37.717,N,145.033,E,37.72,145.03
37.73,N,147.02,E,37.73,147.02
37.742,N,163.013,E,37.74,163.01
37.747,N,151,E,37.75,151
37.748,N,172.997,W,37.75,-173
37.75,N,141.67,E,37.75,141.67
37.75,N,144.517,E,37.75,144.52
37.75,N,144.967,E,37.75,144.97
37.75,N,145.26,E,37.75,145.26
37.75,N,147,E,37.75,147
37.75,N,168.963,E,37.75,168.96
37.755,N,178.983,E,37.76,178.98
37.757,NA,145.127,E,37.76,145.13
37.757,N,159.002,E,37.76,159
37.758,N,150.987,E,37.76,150.99
37.76,N,142.5,E,37.76,142.5
37.762,N,165.035,W,37.76,-165.03
37.763,N,155,E,37.76,155
37.767,N,147.967,E,37.77,147.97
37.767,N,148.533,E,37.77,148.53
37.77,N,160,E,37.77,160
37.783,N,142.617,E,37.78,142.62
37.787,N,158.865,E,37.79,158.87
37.79,N,143.05,E,37.79,143.05
37.798,N,178.928,E,37.8,178.93
37.8,N,145.76,E,37.8,145.76
37.8,N,148.483,E,37.8,148.48
37.8,N,148.617,E,37.8,148.62
37.807,N,177.093,E,37.81,177.09
37.81,N,143.76,E,37.81,143.76
37.817,N,142,E,37.82,142
37.817,N,142.333,E,37.82,142.33
37.817,N,142.5,E,37.82,142.5
37.817,N,143,E,37.82,143
37.83,N,141.03,E,37.83,141.03
37.83,N,141.1,E,37.83,141.1
37.83,N,141.2,E,37.83,141.2
37.83,N,141.4,E,37.83,141.4
37.833,N,142,E,37.83,142
37.833,N,142.5,E,37.83,142.5
37.835,N,170.998,E,37.84,171
37.838,N,166.988,E,37.84,166.99
37.84,N,141.34,E,37.84,141.34
37.84,N,153.18,E,37.84,153.18
37.842,NA,145.757,E,37.84,145.76
37.843,N,145.755,E,37.84,145.75
37.845,N,158.998,E,37.84,159
37.85,N,141.33,E,37.85,141.33
37.868,N,143.095,E,37.87,143.09
37.868,N,159.002,E,37.87,159
37.872,N,163.002,E,37.87,163
37.88,N,143.87,E,37.88,143.87
37.88,N,159.02,E,37.88,159.02
37.89,N,141.65,E,37.89,141.65
37.895,N,141.649,E,37.9,141.65
37.9,N,146.767,E,37.9,146.77
37.908,N,163.005,E,37.91,163
37.917,NA,144.132,E,37.92,144.13
37.917,N,145,E,37.92,145
37.917,N,145.467,E,37.92,145.47
37.92,N,156.51,E,37.92,156.51
37.92,N,175.01,E,37.92,175.01
37.928,N,175.015,E,37.93,175.01
37.928,N,168.995,W,37.93,-169
37.934,N,141.262,E,37.93,141.26
