Latitude_org,"N,S",Longitude_org,"E,W",Latitude,Longitude
30.85,NA,158.333,E,30.85,158.33
30.87,N,130.47,E,30.87,130.47
30.87,N,131.92,E,30.87,131.92
30.92,N,130.9,E,30.92,130.9
30.945,N,141.403,E,30.95,141.4
30.99,N,175.49,E,30.99,175.49
31,N,138,E,31,138
31,N,155,E,31,155
31,N,160,E,31,160
31,N,165,E,31,165
31,N,169.99,E,31,169.99
31,N,170,E,31,170
31.0015,N,126.0033,E,31,126
31.01,N,165.99,E,31.01,165.99
31.017,N,163.048,E,31.02,163.05
31.06,N,131.65,E,31.06,131.65
31.1,N,131.65,E,31.1,131.65
31.15,N,128,E,31.15,128
31.15,N,129,E,31.15,129
31.15,N,129.667,E,31.15,129.67
31.18,N,131.233,E,31.18,131.23
31.25,N,128,E,31.25,128
31.25,N,129,E,31.25,129
31.25,N,129.67,E,31.25,129.67
31.2508,N,126.2458,E,31.25,126.25
31.3,N,131.23,E,31.3,131.23
31.33,N,130.7,E,31.33,130.7
31.3402,N,131.65,E,31.34,131.65
31.3402,N,131.85,E,31.34,131.85
31.36,N,133.75,E,31.36,133.75
31.3702,N,130,E,31.37,130
31.4983,N,126.4985,E,31.5,126.5
31.51,N,145.51,E,31.51,145.51
31.57,N,131.65,E,31.57,131.65
31.57,N,131.85,E,31.57,131.85
31.5802,N,133.517,E,31.58,133.52
31.6,N,133.75,E,31.6,133.75
31.62,N,130,E,31.62,130
31.7472,N,126.7503,E,31.75,126.75
31.7478,N,129.6707,E,31.75,129.67
31.749,N,128.7527,E,31.75,128.75
31.7493,N,128.2507,E,31.75,128.25
31.7493,N,129.2492,E,31.75,129.25
31.7542,N,127.2563,E,31.75,127.26
31.7547,N,127.7447,E,31.75,127.74
31.817,NA,161.85,E,31.82,161.85
31.94,N,179.02,E,31.94,179.02
31.97,N,133.52,E,31.97,133.52
31.983,N,145.467,E,31.98,145.47
31.983,N,149.017,E,31.98,149.02
31.998,NA,170.005,E,32,170
31.998,N,141.498,E,32,141.5
32,N,129.83,E,32,129.83
32,N,138,E,32,138
32,N,148,E,32,148
32,N,149.983,E,32,149.98
32,N,155,E,32,155
32,N,159.99,E,32,159.99
32,N,160,E,32,160
32,N,165,E,32,165
32,N,166,E,32,166
32.005,NA,160.003,E,32.01,160
32.01,NA,171.007,E,32.01,171.01
32.01,N,175.5,E,32.01,175.5
32.015,N,148.408,E,32.02,148.41
32.0155,N,127.048,E,32.02,127.05
32.03,N,131.8,E,32.03,131.8
32.03,N,132,E,32.03,132
32.05,N,131.8,E,32.05,131.8
32.05,N,132,E,32.05,132
32.055,N,155.418,E,32.05,155.42
32.1002,N,129.167,E,32.1,129.17
32.1002,N,129.7,E,32.1,129.7
32.13,N,169.9,E,32.13,169.9
32.15,N,133.317,E,32.15,133.32
32.24,N,133.233,E,32.24,133.23
32.25,N,133.32,E,32.25,133.32
32.2523,N,127.247,E,32.25,127.25
32.253,N,162.882,E,32.25,162.88
32.3,NA,161.8,E,32.3,161.8
32.3102,N,131.95,E,32.31,131.95
32.3102,N,132.133,E,32.31,132.13
32.3198,N,128.767,E,32.32,128.77
32.33,N,133.133,E,32.33,133.13
32.3402,N,129.517,E,32.34,129.52
32.35,NA,161.77,E,32.35,161.77
32.4,N,133.23,E,32.4,133.23
32.45,N,133.25,E,32.45,133.25
32.4997,N,127.502,E,32.5,127.5
32.5,NA,155.53,E,32.5,155.53
32.52,N,131.95,E,32.52,131.95
32.52,N,132.13,E,32.52,132.13
32.5202,N,128.433,E,32.52,128.43
32.55,N,133.13,E,32.55,133.13
32.57,N,128.93,E,32.57,128.93
32.57,N,129.32,E,32.57,129.32
32.57,N,133.433,E,32.57,133.43
32.58,N,129.72,E,32.58,129.72
32.7488,N,127.752,E,32.75,127.75
32.75,N,133.25,E,32.75,133.25
32.783,NA,144.733,E,32.78,144.73
32.903,N,141.48,E,32.9,141.48
32.92,N,159.9,E,32.92,159.9
32.95,N,133.43,E,32.95,133.43
32.967,N,145.5,E,32.97,145.5
32.99,N,166,E,32.99,166
32.997,N,148.363,E,33,148.36
33,N,138,E,33,138
33,N,145,E,33,145
33,N,146,E,33,146
33,N,148.983,E,33,148.98
33,N,155.01,E,33,155.01
33,N,160,E,33,160
33,N,170,E,33,170
33,N,175.5,E,33,175.5
33.0063,N,128.013,E,33.01,128.01
33.015,NA,160.028,E,33.02,160.03
33.02,N,179.22,E,33.02,179.22
33.0798,N,133.617,E,33.08,133.62
33.1,N,129.33,E,33.1,129.33
33.13,N,133.62,E,33.13,133.62
33.1398,N,133.95,E,33.14,133.95
33.1698,N,135.7,E,33.17,135.7
33.17,N,169.91,E,33.17,169.91
33.2,NA,151.083,E,33.2,151.08
33.2,NA,156.47,E,33.2,156.47
33.205,N,155.487,E,33.2,155.49
33.22,NA,154.72,E,33.22,154.72
33.23,N,133.95,E,33.23,133.95
33.233,NA,153.683,E,33.23,153.68
33.25,NA,157.83,E,33.25,157.83
33.25,N,128.93,E,33.25,128.93
33.2515,N,128.248,E,33.25,128.25
33.27,N,135.283,E,33.27,135.28
33.28,N,135.7,E,33.28,135.7
33.28,N,139.7,E,33.28,139.7
33.3,N,138,E,33.3,138
33.317,NA,146.167,E,33.32,146.17
33.33,N,136.133,E,33.33,136.13
33.333,N,146.8,E,33.33,146.8
33.383,NA,141.45,E,33.38,141.45
33.45,N,135.28,E,33.45,135.28
33.467,NA,141.483,E,33.47,141.48
33.467,NA,141.55,E,33.47,141.55
33.497,NA,169.997,E,33.5,170
33.5,NA,141.433,E,33.5,141.43
33.5,NA,141.5,E,33.5,141.5
33.5,NA,141.517,E,33.5,141.52
33.5,N,146.483,E,33.5,146.48
33.5,N,147.95,E,33.5,147.95
33.5012,N,128.502,E,33.5,128.5
33.51,N,129.35,E,33.51,129.35
33.51,N,134.867,E,33.51,134.87
33.52,N,128.22,E,33.52,128.22
33.533,NA,140.233,E,33.53,140.23
33.533,NA,141.483,E,33.53,141.48
33.533,NA,141.5,E,33.53,141.5
33.55,NA,141.483,E,33.55,141.48
33.55,N,143.5,E,33.55,143.5
33.5693,N,129.591,E,33.57,129.59
33.58,N,159.02,E,33.58,159.02
33.63,N,129.7,E,33.63,129.7
33.63,N,136.02,E,33.63,136.02
33.667,NA,170.998,E,33.67,171
33.68,N,129.95,E,33.68,129.95
33.7183,N,128.779,E,33.72,128.78
33.72,N,129.17,E,33.72,129.17
33.767,NA,141.2,E,33.77,141.2
33.7745,N,129.308,E,33.77,129.31
33.783,NA,141.2,E,33.78,141.2
33.8,NA,139.1,E,33.8,139.1
