x	y
597007	4805570
589800	4801397
570105	4795093
566485	4796186
586537	4798855
584725	4798981
533594	4805605
541347	4802354
524145	4809822
561415	4796323
548439	4798291
552500	4797285
503617	4809354
515916	4810520
493360	4803304
498328	4805152
597956	4800641
598024	4802583
600337	4799756
588878	4797244
586667	4797168
587465	4797618
582856	4796532
583597	4796227
571392	4791824
570456	4792569
560329	4793991
560693	4792078
561250	4793514
551601	4793594
552145	4793494
545136	4796732
546950	4796501
540602	4800938
540135	4800565
527059	4798683
525598	4801359
524758	4804573
504349	4806084
506146	4804824
504518	4805004
504948	4790762
502111	4793583
500185	4795862
497813	4798377
496329	4800840
490876	4797710
490145	4799342
587545	4811735
556693	4805474
516177	4816362
